code,y
ATC-J07BD52,ATC-J
ATC-A11CC01,ATC-A
ATC-J07CA09,ATC-J
ATC-J07AL02,ATC-J
ATC-N01BB52,ATC-N
ATC-D08AC52,ATC-D
ATC-A02BX13,ATC-A
ATC-A03AA05,ATC-A
ATC-N02BE01,ATC-N
ATC-R01AD07,ATC-R
ATC-D07AB08,ATC-D
ATC-A11CC05,ATC-A
ATC-J07AH07,ATC-J
ATC-A01AA51,ATC-A
ATC-S01AA16,ATC-S
ATC-S01AX07,ATC-S
ATC-R05CB,ATC-R
ATC-D07AB02,ATC-D
ATC-J01CA04,ATC-J
ATC-S01FA01,ATC-S
ATC-V03AX,ATC-V
ATC-D01AC14,ATC-D
ATC-J07CA02,ATC-J
ATC-D01AC03,ATC-D
ATC-A06AD15,ATC-A
ATC-M01AE01,ATC-M
ATC-A03AX12,ATC-A
ATC-S01CA01,ATC-S
ATC-S02AA16,ATC-S
ATC-J01DD08,ATC-J
ATC-R06AX27,ATC-R
ATC-R06AD08,ATC-R
ATC-A02BC05,ATC-A
ATC-A03FA03,ATC-A
ATC-M01AE11,ATC-M
ATC-P01AB01,ATC-P
ATC-A01AB09,ATC-A
ATC-M01AX22,ATC-M
ATC-J01DD13,ATC-J
ATC-J01CR02,ATC-J
ATC-S02CA06,ATC-S
ATC-D08AC02,ATC-D
ATC-S02CA07,ATC-S
ATC-D07AC01,ATC-D
ATC-A06AD11,ATC-A
ATC-D06AX01,ATC-D
ATC-R05DA09,ATC-R
ATC-A04AD05,ATC-A
ATC-A07XA04,ATC-A
ATC-R03AC02,ATC-R
ATC-R03BA05,ATC-R
ATC-H02AB01,ATC-H
ATC-A07BC05,ATC-A
ATC-P02CA05,ATC-P
ATC-J01FA10,ATC-J
ATC-B03AB03,ATC-B
ATC-S01AA12,ATC-S
ATC-D06AX09,ATC-D
ATC-S01XA02,ATC-S
ATC-S01AX16,ATC-S
ATC-S01AA26,ATC-S
ATC-A01AB03,ATC-A
ATC-R01AD01,ATC-R
ATC-B05XA02,ATC-B
ATC-V04CX,ATC-V
ATC-V04CX05,ATC-V
ATC-A02BC01,ATC-A
ATC-A07AA02,ATC-A
ATC-J07AN01,ATC-J
ATC-J07BC02,ATC-J
ATC-B02BA01,ATC-B
ATC-N02BA01,ATC-N
ATC-H02AB06,ATC-H
ATC-R03BA01,ATC-R
ATC-J01FA09,ATC-J
ATC-S01XA20,ATC-S
ATC-S01AE03,ATC-S
ATC-S01AE01,ATC-S
ATC-S01BA01,ATC-S
ATC-S01BC01,ATC-S
ATC-J07AH09,ATC-J
ATC-J07BB02,ATC-J
ATC-D01AC05,ATC-D
ATC-B05XA03,ATC-B
ATC-D01AC10,ATC-D
ATC-R06AD07,ATC-R
ATC-J07CA06,ATC-J
ATC-S02DA30,ATC-S
ATC-R03BA02,ATC-R
ATC-N05BA01,ATC-N
ATC-R01AD09,ATC-R
ATC-S01BA07,ATC-S
ATC-D01AE14,ATC-D
ATC-R06AE07,ATC-R
ATC-N05BB01,ATC-N
ATC-R03AK06,ATC-R
ATC-J02AA01,ATC-J
ATC-P02CF01,ATC-P
ATC-P03AX01,ATC-P
ATC-H02AB07,ATC-H
ATC-D08AG02,ATC-D
ATC-D08AX07,ATC-D
ATC-S01AA13,ATC-S
ATC-J07BH01,ATC-J
ATC-S01AX,ATC-S
ATC-J07AH08,ATC-J
ATC-N02AX02,ATC-N
ATC-S02AA15,ATC-S
ATC-J01FA07,ATC-J
ATC-B05BB01,ATC-B
ATC-J05AB01,ATC-J
ATC-R06AE09,ATC-R
ATC-D02AC,ATC-D
ATC-N03AG01,ATC-N
ATC-N03AX14,ATC-N
ATC-N03AD01,ATC-N
ATC-N05CH01,ATC-N
ATC-N05CD08,ATC-N
ATC-J07BH02,ATC-J
ATC-R01AD11,ATC-R
ATC-J06BD08,ATC-J
ATC-S01AE02,ATC-S
ATC-D07AC06,ATC-D
ATC-D10AF02,ATC-D
ATC-J01XC01,ATC-J
ATC-R03DC03,ATC-R
ATC-S01GX02,ATC-S
ATC-S01GX01,ATC-S
ATC-D08AC04,ATC-D
ATC-P02CC01,ATC-P
ATC-A03FA01,ATC-A
ATC-R05X,ATC-R
ATC-R01AX10,ATC-R
ATC-R03BB01,ATC-R
ATC-R03AC03,ATC-R
ATC-J01FA06,ATC-J
ATC-J01EE01,ATC-J
ATC-S02AA12,ATC-S
ATC-N03AA02,ATC-N
ATC-D01AC08,ATC-D
ATC-A06AD12,ATC-A
ATC-D07AD01,ATC-D
ATC-J07BC01,ATC-J
ATC-A07DA03,ATC-A
ATC-N06BA04,ATC-N
ATC-N05AX08,ATC-N
ATC-N06AA09,ATC-N
ATC-A06AD65,ATC-A
ATC-P02CA03,ATC-P
ATC-H04AA01,ATC-H
ATC-A10AE04,ATC-A
ATC-A10AB04,ATC-A
ATC-R01AD12,ATC-R
ATC-J07CA01,ATC-J
ATC-S01KA02,ATC-S
ATC-M01AE03,ATC-M
ATC-R01AA05,ATC-R
ATC-D06BA01,ATC-D
ATC-J07BK01,ATC-J
ATC-D07AC16,ATC-D
ATC-R05CB01,ATC-R
ATC-A02AB03,ATC-A
ATC-N01BB02,ATC-N
ATC-D07AC17,ATC-D
ATC-S02CA05,ATC-S
ATC-J01DD04,ATC-J
ATC-S01AA30,ATC-S
ATC-B03BB01,ATC-B
ATC-B03XA01,ATC-B
ATC-A02BA02,ATC-A
ATC-C07AA05,ATC-C
ATC-R05DA08,ATC-R
ATC-M02AA17,ATC-M
ATC-N02AA01,ATC-N
ATC-J07AL01,ATC-J
ATC-A01AB11,ATC-A
ATC-S01GX08,ATC-S
ATC-S01GX07,ATC-S
ATC-J05AH02,ATC-J
ATC-S01FA06,ATC-S
ATC-J05AB11,ATC-J
ATC-R01AC03,ATC-R
ATC-M02AA13,ATC-M
ATC-R05DA20,ATC-R
ATC-J01DC04,ATC-J
ATC-D01AE15,ATC-D
ATC-A06AX02,ATC-A
ATC-D06BB03,ATC-D
ATC-R01AD05,ATC-R
ATC-D01BA02,ATC-D
ATC-C03CA01,ATC-C
ATC-H03AA01,ATC-H
ATC-D01AC12,ATC-D
ATC-S01GX03,ATC-S
ATC-A06AG20,ATC-A
ATC-R05CA10,ATC-R
ATC-J01DB01,ATC-J
ATC-N03AX09,ATC-N
ATC-H02AB09,ATC-H
ATC-N03AX11,ATC-N
ATC-N03AF03,ATC-N
ATC-N03AG04,ATC-N
ATC-V03AF03,ATC-V
ATC-N05BA09,ATC-N
ATC-N03AX22,ATC-N
ATC-N03AX24,ATC-N
ATC-R06AX13,ATC-R
ATC-V08CA02,ATC-V
ATC-J01DC02,ATC-J
ATC-V08AA01,ATC-V
ATC-R06AX17,ATC-R
ATC-J04AB02,ATC-J
ATC-A12AA04,ATC-A
ATC-M01AB05,ATC-M
