"";"code";"y"
"1";"ATC-J07BD52";"ATC-J"
"2";"ATC-A11CC01";"ATC-A"
"3";"ATC-J07CA09";"ATC-J"
"4";"ATC-J07AL02";"ATC-J"
"5";"ATC-N01BB52";"ATC-N"
"6";"ATC-D08AC52";"ATC-D"
"7";"ATC-A02BX13";"ATC-A"
"8";"ATC-A03AA05";"ATC-A"
"9";"ATC-N02BE01";"ATC-N"
"10";"ATC-R01AD07";"ATC-R"
"11";"ATC-D07AB08";"ATC-D"
"12";"ATC-A11CC05";"ATC-A"
"13";"ATC-J07AH07";"ATC-J"
"14";"ATC-A01AA51";"ATC-A"
"15";"ATC-S01AA16";"ATC-S"
"16";"ATC-S01AX07";"ATC-S"
"17";"ATC-R05CB";"ATC-R"
"18";"ATC-D07AB02";"ATC-D"
"19";"ATC-J01CA04";"ATC-J"
"20";"ATC-S01FA01";"ATC-S"
"21";"ATC-V03AX";"ATC-V"
"22";"ATC-D01AC14";"ATC-D"
"23";"ATC-J07CA02";"ATC-J"
"24";"ATC-D01AC03";"ATC-D"
"25";"ATC-A06AD15";"ATC-A"
"26";"ATC-M01AE01";"ATC-M"
"27";"ATC-A03AX12";"ATC-A"
"28";"ATC-S01CA01";"ATC-S"
"29";"ATC-S02AA16";"ATC-S"
"30";"ATC-J01DD08";"ATC-J"
"31";"ATC-R06AX27";"ATC-R"
"32";"ATC-R06AD08";"ATC-R"
"33";"ATC-A02BC05";"ATC-A"
"34";"ATC-A03FA03";"ATC-A"
"35";"ATC-M01AE11";"ATC-M"
"36";"ATC-P01AB01";"ATC-P"
"37";"ATC-A01AB09";"ATC-A"
"38";"ATC-M01AX22";"ATC-M"
"39";"ATC-J01DD13";"ATC-J"
"40";"ATC-J01CR02";"ATC-J"
"41";"ATC-S02CA06";"ATC-S"
"42";"ATC-D08AC02";"ATC-D"
"43";"ATC-S02CA07";"ATC-S"
"44";"ATC-D07AC01";"ATC-D"
"45";"ATC-A06AD11";"ATC-A"
"46";"ATC-D06AX01";"ATC-D"
"47";"ATC-R05DA09";"ATC-R"
"48";"ATC-A04AD05";"ATC-A"
"49";"ATC-A07XA04";"ATC-A"
"50";"ATC-R03AC02";"ATC-R"
"51";"ATC-R03BA05";"ATC-R"
"52";"ATC-H02AB01";"ATC-H"
"53";"ATC-A07BC05";"ATC-A"
"54";"ATC-P02CA05";"ATC-P"
"55";"ATC-J01FA10";"ATC-J"
"56";"ATC-B03AB03";"ATC-B"
"57";"ATC-S01AA12";"ATC-S"
"58";"ATC-D06AX09";"ATC-D"
"59";"ATC-S01XA02";"ATC-S"
"60";"ATC-S01AX16";"ATC-S"
"61";"ATC-S01AA26";"ATC-S"
"62";"ATC-A01AB03";"ATC-A"
"63";"ATC-R01AD01";"ATC-R"
"64";"ATC-B05XA02";"ATC-B"
"65";"ATC-V04CX";"ATC-V"
"66";"ATC-V04CX05";"ATC-V"
"67";"ATC-A02BC01";"ATC-A"
"68";"ATC-A07AA02";"ATC-A"
"69";"ATC-J07AN01";"ATC-J"
"70";"ATC-J07BC02";"ATC-J"
"71";"ATC-B02BA01";"ATC-B"
"72";"ATC-N02BA01";"ATC-N"
"73";"ATC-H02AB06";"ATC-H"
"74";"ATC-R03BA01";"ATC-R"
"75";"ATC-J01FA09";"ATC-J"
"76";"ATC-S01XA20";"ATC-S"
"77";"ATC-S01AE03";"ATC-S"
"78";"ATC-S01AE01";"ATC-S"
"79";"ATC-S01BA01";"ATC-S"
"80";"ATC-S01BC01";"ATC-S"
"81";"ATC-J07AH09";"ATC-J"
"82";"ATC-J07BB02";"ATC-J"
"83";"ATC-D01AC05";"ATC-D"
"84";"ATC-B05XA03";"ATC-B"
"85";"ATC-D01AC10";"ATC-D"
"86";"ATC-R06AD07";"ATC-R"
"87";"ATC-J07CA06";"ATC-J"
"88";"ATC-S02DA30";"ATC-S"
"89";"ATC-R03BA02";"ATC-R"
"90";"ATC-N05BA01";"ATC-N"
"91";"ATC-R01AD09";"ATC-R"
"92";"ATC-S01BA07";"ATC-S"
"93";"ATC-D01AE14";"ATC-D"
"94";"ATC-R06AE07";"ATC-R"
"95";"ATC-N05BB01";"ATC-N"
"96";"ATC-R03AK06";"ATC-R"
"97";"ATC-J02AA01";"ATC-J"
"98";"ATC-P02CF01";"ATC-P"
"99";"ATC-P03AX01";"ATC-P"
"100";"ATC-H02AB07";"ATC-H"
"101";"ATC-D08AG02";"ATC-D"
"102";"ATC-D08AX07";"ATC-D"
"103";"ATC-S01AA13";"ATC-S"
"104";"ATC-J07BH01";"ATC-J"
"105";"ATC-S01AX";"ATC-S"
"106";"ATC-J07AH08";"ATC-J"
"107";"ATC-N02AX02";"ATC-N"
"108";"ATC-S02AA15";"ATC-S"
"109";"ATC-J01FA07";"ATC-J"
"110";"ATC-B05BB01";"ATC-B"
"111";"ATC-J05AB01";"ATC-J"
"112";"ATC-R06AE09";"ATC-R"
"113";"ATC-D02AC";"ATC-D"
"114";"ATC-N03AG01";"ATC-N"
"115";"ATC-N03AX14";"ATC-N"
"116";"ATC-N03AD01";"ATC-N"
"117";"ATC-N05CH01";"ATC-N"
"118";"ATC-N05CD08";"ATC-N"
"119";"ATC-J07BH02";"ATC-J"
"120";"ATC-R01AD11";"ATC-R"
"121";"ATC-J06BD08";"ATC-J"
"122";"ATC-S01AE02";"ATC-S"
"123";"ATC-D07AC06";"ATC-D"
"124";"ATC-D10AF02";"ATC-D"
"125";"ATC-J01XC01";"ATC-J"
"126";"ATC-R03DC03";"ATC-R"
"127";"ATC-S01GX02";"ATC-S"
"128";"ATC-S01GX01";"ATC-S"
"129";"ATC-D08AC04";"ATC-D"
"130";"ATC-P02CC01";"ATC-P"
"131";"ATC-A03FA01";"ATC-A"
"132";"ATC-R05X";"ATC-R"
"133";"ATC-R01AX10";"ATC-R"
"134";"ATC-R03BB01";"ATC-R"
"135";"ATC-R03AC03";"ATC-R"
"136";"ATC-J01FA06";"ATC-J"
"137";"ATC-J01EE01";"ATC-J"
"138";"ATC-S02AA12";"ATC-S"
"139";"ATC-N03AA02";"ATC-N"
"140";"ATC-D01AC08";"ATC-D"
"141";"ATC-A06AD12";"ATC-A"
"142";"ATC-D07AD01";"ATC-D"
"143";"ATC-J07BC01";"ATC-J"
"144";"ATC-A07DA03";"ATC-A"
"145";"ATC-N06BA04";"ATC-N"
"146";"ATC-N05AX08";"ATC-N"
"147";"ATC-N06AA09";"ATC-N"
"148";"ATC-A06AD65";"ATC-A"
"149";"ATC-P02CA03";"ATC-P"
"150";"ATC-H04AA01";"ATC-H"
"151";"ATC-A10AE04";"ATC-A"
"152";"ATC-A10AB04";"ATC-A"
"153";"ATC-R01AD12";"ATC-R"
"154";"ATC-J07CA01";"ATC-J"
"155";"ATC-S01KA02";"ATC-S"
"156";"ATC-M01AE03";"ATC-M"
"157";"ATC-R01AA05";"ATC-R"
"158";"ATC-D06BA01";"ATC-D"
"159";"ATC-J07BK01";"ATC-J"
"160";"ATC-D07AC16";"ATC-D"
"161";"ATC-R05CB01";"ATC-R"
"162";"ATC-A02AB03";"ATC-A"
"163";"ATC-N01BB02";"ATC-N"
"164";"ATC-D07AC17";"ATC-D"
"165";"ATC-S02CA05";"ATC-S"
"166";"ATC-J01DD04";"ATC-J"
"167";"ATC-S01AA30";"ATC-S"
"168";"ATC-B03BB01";"ATC-B"
"169";"ATC-B03XA01";"ATC-B"
"170";"ATC-A02BA02";"ATC-A"
"171";"ATC-C07AA05";"ATC-C"
"172";"ATC-R05DA08";"ATC-R"
"173";"ATC-M02AA17";"ATC-M"
"174";"ATC-N02AA01";"ATC-N"
"175";"ATC-J07AL01";"ATC-J"
"176";"ATC-A01AB11";"ATC-A"
"177";"ATC-S01GX08";"ATC-S"
"178";"ATC-S01GX07";"ATC-S"
"179";"ATC-J05AH02";"ATC-J"
"180";"ATC-S01FA06";"ATC-S"
"181";"ATC-J05AB11";"ATC-J"
"182";"ATC-R01AC03";"ATC-R"
"183";"ATC-M02AA13";"ATC-M"
"184";"ATC-R05DA20";"ATC-R"
"185";"ATC-J01DC04";"ATC-J"
"186";"ATC-D01AE15";"ATC-D"
"187";"ATC-A06AX02";"ATC-A"
"188";"ATC-D06BB03";"ATC-D"
"189";"ATC-R01AD05";"ATC-R"
"190";"ATC-D01BA02";"ATC-D"
"191";"ATC-C03CA01";"ATC-C"
"192";"ATC-H03AA01";"ATC-H"
"193";"ATC-D01AC12";"ATC-D"
"194";"ATC-S01GX03";"ATC-S"
"195";"ATC-A06AG20";"ATC-A"
"196";"ATC-R05CA10";"ATC-R"
"197";"ATC-J01DB01";"ATC-J"
"198";"ATC-N03AX09";"ATC-N"
"199";"ATC-H02AB09";"ATC-H"
"200";"ATC-N03AX11";"ATC-N"
"201";"ATC-N03AF03";"ATC-N"
"202";"ATC-N03AG04";"ATC-N"
"203";"ATC-V03AF03";"ATC-V"
"204";"ATC-N05BA09";"ATC-N"
"205";"ATC-N03AX22";"ATC-N"
"206";"ATC-N03AX24";"ATC-N"
"207";"ATC-R06AX13";"ATC-R"
"208";"ATC-V08CA02";"ATC-V"
"209";"ATC-J01DC02";"ATC-J"
"210";"ATC-V08AA01";"ATC-V"
"211";"ATC-R06AX17";"ATC-R"
"212";"ATC-J04AB02";"ATC-J"
"213";"ATC-A12AA04";"ATC-A"
"214";"ATC-M01AB05";"ATC-M"
"215";"ATC-R05CB03";"ATC-R"
"216";"ATC-B02AA02";"ATC-B"
"217";"ATC-J02AC01";"ATC-J"
"218";"ATC-J01FG01";"ATC-J"
"219";"ATC-G03AC09";"ATC-G"
"220";"ATC-V04CF01";"ATC-V"
"221";"ATC-A02BC03";"ATC-A"
"222";"ATC-C01CA24";"ATC-C"
"223";"ATC-P03AC04";"ATC-P"
"224";"ATC-R06AD01";"ATC-R"
"225";"ATC-J01AA02";"ATC-J"
"226";"ATC-H01BA02";"ATC-H"
"227";"ATC-C09DX04";"ATC-C"
