index,Event_code
1,ATC-J07BD52
2,LPP-1331911
3,ATC-A11CC01
4,ATC-J07CA09
5,ATC-J07AL02
6,ATC-N01BB52
7,ATC-D08AC52
8,LPP-1371508
9,ATC-A02BX13
10,ATC-A03AA05
11,ATC-N02BE01
12,ATC-R01AD07
13,ATC-D07AB08
14,ATC-A11CC05
15,ATC-J07AH07
16,ATC-A01AA51
17,BIO-5201
18,BIO-1104
19,BIO-1124
20,BIO-1804
21,BIO-593
22,BIO-552
23,BIO-1608
24,ATC-S01AA16
25,ATC-S01AX07
26,ATC-R05CB
27,ATC-D07AB02
28,CAM-BLQP010
29,CAM-BJQP002
30,ATC-J01CA04
31,ATC-S01FA01
32,LPP-2200393
33,LPP-2210546
34,CAM-LHQK003
35,CAM-NAQK015
36,CAM-NEQK010
37,ATC-V03AX
38,ATC-D01AC14
39,ATC-J07CA02
40,ATC-D01AC03
41,LPP-1360350
42,LPP-2208756
43,LPP-2276870
44,ATC-A06AD15
45,BIO-5271
46,CAM-MZMP001
47,CAM-MAQK003
48,ATC-M01AE01
49,LPP-6132607
50,CAM-MAQK001
51,LPP-7248312
52,LPP-7247933
53,LPP-7211846
54,ATC-A03AX12
55,ATC-S01CA01
56,ATC-S02AA16
57,ATC-J01DD08
58,LPP-7214371
59,LPP-7248097
60,LPP-7248476
61,ATC-R06AX27
62,ATC-R06AD08
63,CAM-HBJD001
64,CAM-PAQK003
65,LPP-7214069
66,ICD-Z380
67,ICD-P032
68,ICD-P122
69,ICD-Z135
70,ATC-A02BC05
71,BIO-1205
72,LPP-1168049
73,CAM-ZCQM008
74,LPP-1173636
75,CAM-HEQE002
76,CAM-ZZLP025
77,ICD-K219
78,ATC-A03FA03
79,ATC-M01AE11
80,ATC-P01AB01
81,ATC-A01AB09
82,ATC-M01AX22
83,ATC-J01DD13
84,ICD-S060
85,ATC-J01CR02
86,ATC-S02CA06
87,BIO-1200
88,ATC-D08AC02
89,ATC-S02CA07
90,ATC-D07AC01
91,ATC-A06AD11
92,ATC-D06AX01
93,LPP-1396218
94,LPP-1338385
95,ATC-R05DA09
96,ATC-A04AD05
97,ATC-A07XA04
98,ATC-R03AC02
99,ATC-R03BA05
100,LPP-6172989
101,ATC-H02AB01
102,LPP-1175983
103,ATC-A07BC05
104,ATC-P02CA05
105,BIO-252
106,BIO-5207
107,BIO-286
108,ATC-J01FA10
109,BIO-522
110,BIO-571
111,BIO-1213
112,BIO-1385
113,BIO-1609
114,BIO-1828
